frase,situacao
Sinto tosse junto com confusão mental nos pés ao levantar,alto risco
Sinto inchaço junto com perda de visão na cabeça há 2 dias,baixo risco
Tenho crônica inquietação nos olhos durante a noite,alto risco
Sensação de inquietação crônica após comer,alto risco
Sinto formigamento associada a palpitação no peito ao acordar,baixo risco
Sinto perda de visão associada a dor no peito nas costas há 2 dias,alto risco
Sinto perda de equilíbrio e dor nas costas há uma semana,alto risco
Apresentei crônica aperto com cansaço na coluna,alto risco
Sinto perda de equilíbrio junto com tontura nas mãos ao levantar,baixo risco
febre repentina nos pés há 2 dias,baixo risco
Tenho intensa dor abdominal na lombar de manhã,alto risco
formigamento repentina na coluna ao acordar,alto risco
Apresentei leve tontura junto com cansaço na garganta,alto risco
Sinto rigidez muscular junto com desconforto nos braços durante a noite,alto risco
Sinto perda de visão e calafrio nas mãos durante o repouso,baixo risco
Sinto coceira associada a tosse nos olhos após comer,alto risco
Sinto dor abdominal com febre no peito durante o repouso,alto risco
Tenho moderada confusão mental no abdômen ao acordar,baixo risco
Apresentei moderada perda de equilíbrio com perda de visão nos pés,alto risco
Tenho intermitente suor excessivo nos pés ao acordar,baixo risco
Sinto aperto com coceira na coluna após esforço,baixo risco
perda de equilíbrio leve nas costas durante o repouso,baixo risco
formigamento crônica nos braços ao acordar,alto risco
Tenho forte perda de visão nos braços há uma semana,baixo risco
Sinto desconforto junto com calafrio na cabeça há 2 dias,alto risco
Sinto falta de ar seguida de dor abdominal no peito durante a noite,baixo risco
Apresentei moderada tontura e calafrio na coluna,alto risco
Sinto rigidez muscular com falta de ar nos olhos há 2 dias,alto risco
Tenho persistente dor no peito à noite,baixo risco
perda de equilíbrio intensa nas pernas há uma semana,alto risco
Sinto fraqueza com suor excessivo nos pés após comer,baixo risco
Sinto suor excessivo com desconforto nos olhos após comer,alto risco
febre intermitente nas mãos há uma semana,alto risco
Tenho repentina perda de visão nos pés ao levantar,baixo risco
Apresentei repentina tontura e aperto nas mãos,alto risco
Sensação de dor no peito leve à noite,baixo risco
Tenho forte perda de equilíbrio na coluna após comer,baixo risco
Tenho forte coceira na cabeça de manhã,alto risco
Tenho persistente coceira na coluna de manhã,alto risco
Sinto perda de equilíbrio associada a cansaço nos pés durante a noite,alto risco
formigamento moderada na lombar após comer,alto risco
Sinto perda de visão associada a palpitação no abdômen ao levantar,baixo risco
Apresentei moderada cansaço associada a fraqueza nas mãos,baixo risco
Apresentei intermitente perda de visão e calafrio nas mãos,baixo risco
Sinto tontura junto com palpitação na coluna ao levantar,alto risco
Apresentei intensa inquietação junto com confusão mental nas costas,alto risco
Tenho moderada palpitação na cabeça de manhã,alto risco
Apresentei intensa tosse seguida de tontura nos pés,alto risco
Sinto tosse junto com tontura nos olhos há uma semana,baixo risco
Tenho crônica dor abdominal nas costas após comer,baixo risco
Sinto calafrio e inquietação nas mãos há 2 dias,baixo risco
Tenho aguda tosse na garganta após comer,alto risco
Tenho crônica dor nas costas após comer,baixo risco
Tenho repentina dor de cabeça no peito após esforço,baixo risco
Tenho aguda formigamento na garganta após esforço,alto risco
Apresentei intermitente tosse com tosse no peito,baixo risco
Sensação de falta de ar intermitente durante o repouso,alto risco
Sinto confusão mental com perda de equilíbrio nos olhos ao acordar,baixo risco
Tenho contínua inquietação nas pernas ao acordar,baixo risco
Tenho aguda tosse na coluna após comer,alto risco
Sensação de náusea crônica ao levantar,baixo risco
Apresentei repentina perda de visão associada a perda de visão na garganta,alto risco
Tenho repentina aperto na lombar após esforço,alto risco
Sinto tontura e dor nas mãos durante a noite,baixo risco
Sinto aperto seguida de febre na garganta à noite,baixo risco
fraqueza intermitente nos braços há 2 dias,baixo risco
Sensação de desconforto repentina à noite,baixo risco
dor de cabeça crônica no abdômen durante a noite,baixo risco
Tenho repentina falta de ar nas costas há 2 dias,baixo risco
Sinto suor excessivo junto com inquietação na cabeça após comer,baixo risco
Sensação de tontura repentina de manhã,alto risco
Sinto perda de visão seguida de perda de visão nas costas de manhã,baixo risco
Sinto calafrio associada a palpitação no peito de manhã,alto risco
dor de cabeça repentina nas costas ao levantar,alto risco
Apresentei intensa perda de equilíbrio junto com febre nas pernas,baixo risco
Sensação de dor no peito moderada à noite,alto risco
Tenho intermitente febre nas costas durante a noite,baixo risco
Sensação de febre intermitente há uma semana,baixo risco
Tenho leve aperto nos pés há 2 dias,alto risco
calafrio intermitente na coluna durante o repouso,alto risco
Apresentei crônica dor com formigamento nas pernas,alto risco
Sensação de inquietação contínua após esforço,alto risco
Apresentei crônica fraqueza junto com confusão mental na lombar,baixo risco
Apresentei moderada falta de ar e perda de equilíbrio no abdômen,alto risco
dor forte nas costas durante a noite,alto risco
febre leve nos olhos durante o repouso,baixo risco
fraqueza forte nos braços durante o repouso,baixo risco
Sinto dor abdominal e tontura nos olhos de manhã,alto risco
Sensação de tontura aguda à noite,baixo risco
aperto repentina na cabeça após esforço,baixo risco
Tenho leve desconforto nas mãos durante o repouso,alto risco
Tenho persistente perda de visão nos olhos durante o repouso,baixo risco
Sensação de desconforto intensa há uma semana,baixo risco
Sinto palpitação seguida de palpitação nos pés ao levantar,baixo risco
Sinto inquietação com coceira nas mãos à noite,alto risco
Sensação de fraqueza crônica há uma semana,baixo risco
Sinto confusão mental com náusea na lombar de manhã,alto risco
Sensação de confusão mental intensa de manhã,baixo risco
Tenho intensa dor abdominal no abdômen ao acordar,baixo risco
Apresentei intermitente perda de equilíbrio associada a tosse nas mãos,baixo risco
Sensação de fraqueza aguda durante a noite,baixo risco
Apresentei crônica confusão mental e inchaço na garganta,baixo risco
Apresentei persistente falta de ar seguida de dor no peito na lombar,baixo risco
perda de equilíbrio persistente nos braços há 2 dias,alto risco
Sensação de náusea aguda após esforço,baixo risco
Tenho aguda perda de equilíbrio nos pés à noite,baixo risco
Sinto inchaço seguida de confusão mental no peito há uma semana,baixo risco
Tenho intensa fraqueza no abdômen durante a noite,alto risco
falta de ar persistente nos braços durante a noite,alto risco
náusea moderada nas costas há 2 dias,baixo risco
cansaço intermitente na cabeça ao levantar,alto risco
Apresentei forte calafrio seguida de suor excessivo nos braços,baixo risco
Apresentei forte perda de equilíbrio associada a dor abdominal nas pernas,alto risco
dor contínua na cabeça há uma semana,alto risco
perda de equilíbrio intermitente na cabeça durante a noite,alto risco
Sinto dor associada a cansaço nas costas ao acordar,baixo risco
Tenho intermitente confusão mental na lombar de manhã,alto risco
Tenho repentina palpitação nos olhos há uma semana,alto risco
Sinto dor associada a suor excessivo nos pés após comer,baixo risco
Apresentei crônica náusea junto com fraqueza nos braços,alto risco
Apresentei intermitente fraqueza junto com dor de cabeça no abdômen,alto risco
Sinto perda de equilíbrio seguida de dor de cabeça na cabeça durante a noite,alto risco
Tenho intermitente náusea no peito ao acordar,alto risco
formigamento repentina no abdômen durante o repouso,alto risco
coceira moderada nos pés de manhã,alto risco
Apresentei contínua perda de equilíbrio associada a perda de visão nas mãos,alto risco
desconforto moderada no abdômen há uma semana,baixo risco
Apresentei persistente formigamento seguida de dor de cabeça na lombar,alto risco
Sinto cansaço e rigidez muscular nos braços à noite,alto risco
dor de cabeça persistente nas costas ao acordar,baixo risco
Tenho intermitente aperto na garganta ao acordar,baixo risco
Sinto perda de visão seguida de dor na coluna ao levantar,alto risco
inchaço aguda na cabeça após esforço,baixo risco
Apresentei intermitente suor excessivo junto com dor de cabeça nas pernas,alto risco
dor de cabeça forte nos pés após comer,baixo risco
Tenho repentina febre nas mãos há uma semana,alto risco
Sensação de dor abdominal leve à noite,alto risco
Sinto aperto e falta de ar nos braços há 2 dias,alto risco
confusão mental aguda nos pés de manhã,alto risco
Tenho leve inchaço no peito durante a noite,baixo risco
Apresentei leve febre com perda de equilíbrio nos braços,alto risco
Apresentei moderada aperto seguida de tosse nas mãos,baixo risco
Sinto aperto seguida de febre nas costas durante o repouso,alto risco
Tenho repentina náusea na cabeça ao acordar,alto risco
tontura moderada na coluna há 2 dias,alto risco
Tenho aguda dor abdominal nos pés após esforço,alto risco
dor no peito aguda nos braços após comer,baixo risco
Apresentei intermitente desconforto com suor excessivo na garganta,alto risco
Tenho forte confusão mental nos olhos há 2 dias,baixo risco
Apresentei persistente perda de equilíbrio associada a inquietação na lombar,baixo risco
Tenho intensa tosse na lombar há uma semana,alto risco
Tenho moderada cansaço nas costas de manhã,baixo risco
Sinto tontura junto com náusea na garganta à noite,alto risco
Apresentei moderada falta de ar seguida de cansaço nas pernas,alto risco
suor excessivo crônica nos olhos ao levantar,alto risco
Apresentei aguda perda de equilíbrio com formigamento na coluna,alto risco
Apresentei aguda falta de ar e rigidez muscular nos olhos,baixo risco
Tenho aguda tontura na garganta ao levantar,alto risco
Sensação de falta de ar intensa após comer,baixo risco
tosse moderada nos braços à noite,baixo risco
confusão mental persistente na coluna após esforço,alto risco
Sinto aperto associada a dor no peito na coluna à noite,alto risco
Sensação de fraqueza aguda após comer,alto risco
dor de cabeça forte nas costas ao levantar,alto risco
Sinto palpitação e cansaço nos olhos há 2 dias,baixo risco
Tenho contínua aperto no abdômen durante a noite,alto risco
Apresentei aguda rigidez muscular seguida de palpitação nas mãos,alto risco
Tenho leve fraqueza nas costas após comer,baixo risco
Sinto rigidez muscular com inquietação nos olhos à noite,baixo risco
Sensação de febre intermitente durante a noite,baixo risco
Sinto suor excessivo seguida de dor na cabeça há uma semana,alto risco
Sinto rigidez muscular associada a calafrio nas costas há uma semana,baixo risco
Tenho contínua fraqueza na coluna durante a noite,alto risco
náusea intensa nos olhos durante a noite,alto risco
Sensação de rigidez muscular intermitente durante a noite,alto risco
Tenho forte tontura nas costas durante o repouso,baixo risco
Tenho contínua dor abdominal nas costas há uma semana,baixo risco
perda de visão aguda na lombar há uma semana,alto risco
Tenho aguda falta de ar no peito ao levantar,alto risco
perda de visão crônica nas pernas ao levantar,baixo risco
Sinto tontura e coceira na cabeça ao acordar,alto risco
Apresentei persistente rigidez muscular e dor abdominal na garganta,alto risco
Sensação de calafrio forte durante o repouso,baixo risco
Sensação de dor no peito repentina há 2 dias,baixo risco
Apresentei persistente dor de cabeça com calafrio nos pés,baixo risco
falta de ar intensa no abdômen após esforço,baixo risco
Sinto formigamento associada a dor no peito na cabeça de manhã,baixo risco
Sensação de rigidez muscular persistente durante a noite,alto risco
Apresentei repentina tosse junto com aperto nos pés,alto risco
Sensação de tontura aguda após comer,baixo risco
dor no peito repentina na lombar à noite,alto risco
Apresentei repentina fraqueza e dor abdominal na cabeça,baixo risco
Sinto desconforto junto com cansaço na garganta durante o repouso,alto risco
falta de ar intensa na lombar após comer,baixo risco
Sinto dor e palpitação na coluna à noite,alto risco
Sensação de tontura intermitente durante o repouso,baixo risco
Sensação de aperto contínua ao acordar,alto risco
Apresentei persistente rigidez muscular associada a confusão mental na garganta,baixo risco
Apresentei leve náusea seguida de falta de ar no peito,baixo risco
febre forte nas pernas após comer,baixo risco
inchaço crônica na garganta à noite,baixo risco
Apresentei leve dor de cabeça associada a inchaço nas pernas,alto risco
Apresentei persistente formigamento junto com tosse na cabeça,alto risco
Sinto inquietação com perda de visão na cabeça ao acordar,baixo risco
Tenho aguda dor abdominal nos olhos ao levantar,baixo risco
Sinto dor abdominal e perda de equilíbrio nas pernas durante a noite,baixo risco
inquietação crônica na garganta após esforço,alto risco
Sinto falta de ar junto com perda de equilíbrio no peito há uma semana,alto risco
inchaço repentina no peito há uma semana,baixo risco
Tenho intermitente coceira no abdômen após esforço,alto risco
fraqueza repentina nas pernas ao acordar,baixo risco
Apresentei forte perda de equilíbrio associada a náusea nos olhos,baixo risco
tosse intermitente nas costas ao acordar,baixo risco
coceira aguda nas pernas há 2 dias,baixo risco
Sinto tosse junto com dor no peito nos pés à noite,alto risco
Sensação de rigidez muscular aguda durante o repouso,baixo risco
Apresentei intensa palpitação associada a tontura nas mãos,alto risco
Tenho moderada inquietação na cabeça após esforço,alto risco
Tenho contínua náusea na garganta ao acordar,alto risco
Tenho repentina calafrio na lombar à noite,baixo risco
Sensação de confusão mental crônica ao acordar,baixo risco
Tenho persistente confusão mental nos olhos há uma semana,baixo risco
Sensação de rigidez muscular intensa à noite,alto risco
Sinto calafrio e calafrio na coluna de manhã,alto risco
Sensação de inquietação forte há 2 dias,baixo risco
Apresentei aguda palpitação e náusea nos pés,alto risco
falta de ar crônica nos olhos durante o repouso,baixo risco
calafrio forte na lombar durante o repouso,alto risco
Apresentei aguda coceira com aperto na cabeça,baixo risco
Sensação de confusão mental aguda após comer,alto risco
Tenho intensa desconforto na lombar ao levantar,alto risco
Tenho forte rigidez muscular nas costas à noite,baixo risco
Sensação de rigidez muscular intensa há 2 dias,alto risco
Apresentei persistente tontura junto com dor de cabeça nos olhos,alto risco
Apresentei intensa confusão mental e suor excessivo na coluna,alto risco
Apresentei aguda inchaço junto com calafrio na garganta,alto risco
Apresentei forte náusea com tontura nas pernas,alto risco
confusão mental leve na lombar ao acordar,baixo risco
aperto repentina na cabeça durante a noite,baixo risco
Sinto dor com dor no peito no peito há 2 dias,baixo risco
Tenho intermitente palpitação nas costas ao levantar,baixo risco
Apresentei moderada formigamento com confusão mental nos olhos,alto risco
Sinto desconforto seguida de perda de equilíbrio nas pernas após comer,baixo risco
inquietação persistente na garganta durante o repouso,alto risco
Sensação de cansaço contínua de manhã,alto risco
Sinto dor abdominal seguida de tontura na lombar após esforço,alto risco
Sinto suor excessivo junto com coceira nas costas após comer,alto risco
confusão mental intensa nos pés ao levantar,baixo risco
formigamento intensa nos olhos após comer,alto risco
fraqueza leve no peito durante a noite,baixo risco
Tenho intermitente dor nos braços ao levantar,alto risco
Sinto palpitação associada a falta de ar nas costas ao levantar,alto risco
Tenho crônica coceira na cabeça durante a noite,baixo risco
Apresentei persistente náusea com rigidez muscular nos braços,baixo risco
Sinto dor de cabeça junto com formigamento na coluna há 2 dias,baixo risco
Apresentei intensa confusão mental junto com falta de ar nas costas,baixo risco
Apresentei crônica confusão mental associada a fraqueza nas costas,alto risco
Apresentei contínua febre com perda de visão no peito,alto risco
Sinto confusão mental junto com aperto na lombar após comer,alto risco
Sensação de rigidez muscular aguda ao levantar,alto risco
Apresentei leve rigidez muscular e aperto na lombar,baixo risco
Sensação de cansaço repentina à noite,baixo risco
Apresentei crônica perda de visão associada a desconforto na lombar,alto risco
fraqueza persistente nas mãos ao acordar,alto risco
Tenho repentina tontura na cabeça durante a noite,baixo risco
Sinto desconforto e desconforto nos braços durante o repouso,alto risco
Apresentei forte dor abdominal junto com desconforto nos braços,baixo risco
Tenho intensa tontura na coluna após esforço,baixo risco
Tenho forte dor de cabeça nas pernas após esforço,alto risco
dor abdominal forte na cabeça há uma semana,alto risco
Sensação de dor intensa durante o repouso,alto risco
Sinto dor de cabeça com coceira na cabeça de manhã,baixo risco
suor excessivo crônica nos pés ao acordar,alto risco
Tenho repentina perda de visão nos braços durante o repouso,baixo risco
Sinto dor abdominal junto com desconforto na coluna durante o repouso,alto risco
perda de visão intermitente na coluna ao levantar,baixo risco
perda de equilíbrio aguda na coluna há 2 dias,alto risco
calafrio persistente na coluna à noite,baixo risco
Sinto cansaço e aperto nas costas ao acordar,baixo risco
inchaço leve nas mãos ao acordar,baixo risco
suor excessivo moderada nos pés há 2 dias,alto risco
Apresentei contínua dor de cabeça seguida de dor abdominal nas costas,baixo risco
dor abdominal repentina no abdômen à noite,alto risco
Tenho moderada dor nos olhos há 2 dias,baixo risco
perda de visão repentina no abdômen de manhã,alto risco
Sinto tosse junto com fraqueza na cabeça ao acordar,alto risco
Tenho repentina calafrio nos pés durante o repouso,alto risco
Sensação de rigidez muscular intermitente há 2 dias,alto risco
Sensação de palpitação leve durante a noite,alto risco
Sensação de febre leve ao levantar,baixo risco
Apresentei contínua desconforto junto com desconforto nos olhos,baixo risco
Tenho intensa confusão mental nos braços à noite,alto risco
Tenho intensa dor de cabeça nas mãos durante a noite,alto risco
Sinto falta de ar junto com dor no peito nas pernas ao acordar,baixo risco
Sinto tontura associada a fraqueza nas mãos durante a noite,alto risco
rigidez muscular aguda na cabeça ao acordar,baixo risco
Tenho moderada perda de visão nos braços ao acordar,alto risco
Sensação de suor excessivo persistente após comer,alto risco
Apresentei aguda febre seguida de suor excessivo na lombar,baixo risco
Apresentei persistente coceira seguida de cansaço nas pernas,baixo risco
Sensação de fraqueza intermitente ao acordar,alto risco
Apresentei moderada perda de visão seguida de perda de equilíbrio nos braços,baixo risco
Tenho leve calafrio nas pernas durante a noite,alto risco
Sensação de coceira leve durante a noite,alto risco
Sensação de dor repentina ao acordar,baixo risco
Sensação de dor abdominal crônica há uma semana,alto risco
Tenho contínua dor abdominal na lombar ao acordar,alto risco
Tenho contínua suor excessivo no abdômen ao acordar,baixo risco
Sinto perda de equilíbrio junto com dor abdominal nas costas há uma semana,alto risco
febre persistente no abdômen após esforço,baixo risco
perda de visão contínua nos braços durante o repouso,alto risco
Tenho contínua dor nas mãos durante a noite,baixo risco
Sinto suor excessivo associada a desconforto nas costas após esforço,baixo risco
Apresentei contínua tontura seguida de palpitação nos braços,alto risco
Sinto rigidez muscular e suor excessivo nas pernas de manhã,baixo risco
Tenho repentina fraqueza no peito há uma semana,alto risco
Sinto cansaço com calafrio na garganta durante a noite,alto risco
Apresentei contínua fraqueza seguida de tontura no abdômen,alto risco
Sensação de calafrio repentina durante a noite,baixo risco
Sinto desconforto e febre na coluna há 2 dias,baixo risco
Sinto dor seguida de rigidez muscular no abdômen após esforço,alto risco
Tenho crônica inchaço nas costas à noite,baixo risco
cansaço forte na lombar durante a noite,alto risco
Tenho persistente inquietação nos olhos após comer,alto risco
Sinto suor excessivo junto com inchaço nos pés após esforço,baixo risco
cansaço repentina nos pés de manhã,baixo risco
Apresentei intensa tosse com palpitação nos pés,baixo risco
Apresentei leve aperto e tosse no abdômen,alto risco
Sensação de perda de visão leve há 2 dias,alto risco
Sinto formigamento seguida de palpitação nas pernas após esforço,alto risco
Sensação de calafrio intensa à noite,baixo risco
Apresentei contínua desconforto junto com tosse na cabeça,alto risco
confusão mental persistente nos pés após comer,baixo risco
Sensação de desconforto crônica de manhã,baixo risco
Sensação de calafrio intermitente ao acordar,baixo risco
tosse contínua na coluna após esforço,baixo risco
inquietação persistente no peito após comer,baixo risco
rigidez muscular aguda nas costas ao acordar,alto risco
dor crônica na garganta há 2 dias,alto risco
Apresentei crônica dor no peito e fraqueza nos braços,alto risco
Sensação de cansaço intermitente há uma semana,baixo risco
dor de cabeça forte no peito há 2 dias,baixo risco
Tenho intensa suor excessivo na coluna após esforço,baixo risco
Sinto formigamento seguida de falta de ar nas costas de manhã,alto risco
Tenho moderada palpitação na cabeça à noite,baixo risco
Sinto dor de cabeça e dor abdominal nas costas ao levantar,baixo risco
Sinto tontura junto com tosse nas costas após comer,alto risco
Apresentei persistente rigidez muscular com tontura nas pernas,baixo risco
Apresentei forte palpitação com dor abdominal nas costas,baixo risco
febre leve nos olhos à noite,alto risco
Apresentei leve formigamento seguida de inquietação nos braços,alto risco
Tenho contínua tosse no abdômen ao acordar,baixo risco
falta de ar moderada nos pés durante a noite,baixo risco
Sinto febre com formigamento nas costas há uma semana,baixo risco
desconforto intensa nas pernas durante o repouso,baixo risco
Tenho persistente tosse na garganta há uma semana,alto risco
Apresentei contínua suor excessivo seguida de tosse nos braços,alto risco
Tenho aguda náusea nas pernas há 2 dias,baixo risco
Sinto dor de cabeça junto com coceira no abdômen ao acordar,alto risco
Apresentei forte náusea com cansaço nos pés,baixo risco
Sinto dor associada a coceira nas mãos de manhã,baixo risco
Tenho crônica dor no peito nas pernas há uma semana,alto risco
inchaço aguda na garganta após comer,alto risco
Apresentei moderada tontura seguida de dor no peito no abdômen,baixo risco
dor abdominal crônica na cabeça após comer,alto risco
falta de ar crônica nas mãos durante a noite,alto risco
Apresentei intensa perda de equilíbrio associada a tontura nos olhos,alto risco
Sinto tontura associada a tontura nas costas durante a noite,alto risco
perda de visão repentina na garganta após esforço,baixo risco
Apresentei contínua dor com náusea na coluna,baixo risco
falta de ar forte nos pés há uma semana,baixo risco
dor crônica nas pernas durante a noite,baixo risco
Apresentei persistente tontura com tontura nos braços,baixo risco
Tenho aguda dor nas mãos há uma semana,baixo risco
Sinto dor no peito seguida de rigidez muscular nas costas à noite,alto risco
Sinto calafrio e febre nos pés após comer,alto risco
Sensação de formigamento contínua após esforço,alto risco
Apresentei leve rigidez muscular com dor no peito nos olhos,baixo risco
Sinto desconforto junto com perda de visão no abdômen de manhã,alto risco
Apresentei intensa formigamento e perda de visão nas mãos,baixo risco
Sensação de dor de cabeça aguda durante o repouso,alto risco
Tenho persistente dor no peito nos olhos há 2 dias,alto risco
Sinto formigamento com rigidez muscular na garganta ao acordar,baixo risco
dor repentina nos pés à noite,alto risco
Apresentei aguda dor com tosse no peito,alto risco
Sinto suor excessivo seguida de perda de equilíbrio no peito de manhã,baixo risco
Sinto dor seguida de confusão mental nos pés após esforço,alto risco
Sinto aperto seguida de dor no peito no peito há uma semana,alto risco
Tenho contínua rigidez muscular no peito após esforço,baixo risco
desconforto intensa nos olhos há uma semana,baixo risco
Sinto formigamento associada a dor no peito nas pernas há 2 dias,alto risco
Sinto cansaço e perda de visão na coluna durante o repouso,alto risco
Apresentei crônica fraqueza com náusea no abdômen,alto risco
cansaço persistente na lombar à noite,alto risco
Apresentei intermitente suor excessivo associada a perda de equilíbrio na lombar,alto risco
palpitação leve nos braços após esforço,baixo risco
Apresentei persistente inquietação seguida de desconforto nas mãos,alto risco
Sinto dor no peito associada a inquietação na cabeça após esforço,baixo risco
Sinto calafrio seguida de palpitação nas pernas há 2 dias,alto risco
Apresentei repentina dor abdominal associada a cansaço na garganta,baixo risco
Tenho moderada desconforto nos braços há 2 dias,alto risco
Tenho leve confusão mental nos pés durante a noite,baixo risco
Sinto coceira e dor no peito na coluna durante a noite,baixo risco
Apresentei repentina febre e febre na garganta,alto risco
Sinto formigamento com falta de ar nas mãos há uma semana,baixo risco
suor excessivo persistente nas pernas há 2 dias,alto risco
Sensação de desconforto persistente de manhã,alto risco
Sinto formigamento com desconforto nas pernas ao acordar,baixo risco
Tenho forte tontura nas costas durante a noite,alto risco
rigidez muscular persistente na garganta durante o repouso,alto risco
tosse leve na lombar ao levantar,baixo risco
Sinto náusea junto com rigidez muscular nos braços à noite,baixo risco
Apresentei aguda confusão mental associada a suor excessivo na coluna,baixo risco
Sensação de dor repentina após comer,alto risco
Sensação de dor contínua ao levantar,baixo risco
Apresentei crônica náusea com tosse na cabeça,baixo risco
Sinto confusão mental com inchaço na lombar ao acordar,alto risco
cansaço contínua na garganta ao acordar,baixo risco
Sinto dor abdominal seguida de dor no peito na garganta ao levantar,alto risco
Apresentei leve dor associada a desconforto nos pés,alto risco
dor intermitente no peito após comer,baixo risco
dor contínua no abdômen após esforço,baixo risco
Apresentei moderada formigamento seguida de náusea nos pés,alto risco
Tenho intensa falta de ar nos braços após esforço,alto risco
dor abdominal persistente na coluna ao levantar,baixo risco
Apresentei forte cansaço seguida de suor excessivo nas costas,baixo risco
Sensação de tosse intermitente ao acordar,alto risco
Tenho intensa fraqueza nas mãos à noite,baixo risco
Sinto cansaço e inchaço nos pés à noite,alto risco
Sinto dor de cabeça associada a desconforto na cabeça à noite,alto risco
Sensação de dor forte ao acordar,alto risco
Tenho persistente confusão mental nas mãos de manhã,alto risco
Sinto rigidez muscular e dor de cabeça na garganta há uma semana,alto risco
Apresentei crônica dor no peito com tontura no abdômen,alto risco
Apresentei intermitente inquietação seguida de inchaço nos braços,baixo risco
Sinto cansaço associada a dor de cabeça nas costas há uma semana,alto risco
Sinto perda de equilíbrio com dor de cabeça nos olhos após comer,alto risco
Sensação de perda de equilíbrio leve de manhã,baixo risco
Sensação de formigamento crônica ao levantar,baixo risco
Sinto inquietação e calafrio nos olhos ao levantar,alto risco
rigidez muscular leve na cabeça à noite,alto risco
Tenho contínua inchaço no peito à noite,alto risco
Sinto palpitação com náusea nas mãos há 2 dias,baixo risco
Tenho contínua febre na coluna de manhã,alto risco
Apresentei moderada inquietação com cansaço nas pernas,alto risco
Sinto calafrio com formigamento nos olhos à noite,baixo risco
perda de equilíbrio aguda no abdômen há uma semana,alto risco
Sinto perda de equilíbrio seguida de desconforto na cabeça após esforço,alto risco
Tenho forte tontura no abdômen ao acordar,baixo risco
confusão mental contínua nos braços ao acordar,alto risco
Tenho leve febre na garganta após esforço,baixo risco
Tenho moderada calafrio na garganta após esforço,alto risco
tontura contínua nas mãos à noite,baixo risco
Tenho intermitente dor no peito nos braços após comer,alto risco
Sinto dor abdominal junto com calafrio no peito há 2 dias,baixo risco
cansaço leve nos olhos após comer,alto risco
Tenho intermitente tontura nos olhos há uma semana,baixo risco
Tenho aguda palpitação nos pés há uma semana,alto risco
Sensação de febre intermitente durante o repouso,baixo risco
formigamento crônica na garganta há uma semana,alto risco
Sensação de rigidez muscular forte durante o repouso,baixo risco
Apresentei contínua dor no peito seguida de calafrio nas mãos,alto risco
rigidez muscular forte nas costas de manhã,baixo risco
Apresentei forte dor e confusão mental na cabeça,alto risco
Apresentei aguda cansaço com aperto nas costas,baixo risco
perda de visão leve na cabeça à noite,baixo risco
Apresentei leve coceira seguida de coceira nas mãos,baixo risco
Apresentei crônica náusea associada a coceira na cabeça,baixo risco
Sensação de falta de ar intermitente ao acordar,baixo risco
inquietação crônica nas costas à noite,alto risco
Sensação de suor excessivo aguda ao levantar,alto risco
Sinto tosse com falta de ar na lombar de manhã,alto risco
Tenho intensa cansaço na lombar durante a noite,alto risco
Apresentei intermitente inchaço e desconforto nos pés,baixo risco
Tenho intensa cansaço na coluna há uma semana,baixo risco
Tenho crônica dor abdominal na cabeça após comer,baixo risco
desconforto intensa na cabeça à noite,baixo risco
Sinto coceira associada a confusão mental nas mãos há uma semana,alto risco
Apresentei aguda rigidez muscular com inchaço nos olhos,alto risco
Tenho intensa náusea no abdômen após esforço,alto risco
Apresentei repentina fraqueza associada a inchaço nos pés,alto risco
aperto persistente no abdômen durante a noite,alto risco
Sinto inchaço associada a formigamento na lombar após esforço,alto risco
Tenho leve perda de visão nas costas à noite,baixo risco
Tenho intermitente tontura nas costas de manhã,alto risco
Sinto confusão mental associada a suor excessivo na lombar há uma semana,alto risco
palpitação intermitente na coluna há uma semana,alto risco
dor no peito crônica no abdômen à noite,alto risco
Sinto formigamento junto com rigidez muscular na coluna ao levantar,alto risco
Sinto dor no peito junto com tosse na lombar ao levantar,baixo risco
Sinto aperto seguida de tontura na coluna à noite,alto risco
rigidez muscular forte na lombar durante a noite,alto risco
Sensação de fraqueza forte de manhã,baixo risco
Apresentei forte formigamento associada a tosse na cabeça,alto risco
febre crônica nas costas durante o repouso,baixo risco
dor de cabeça persistente nas mãos durante o repouso,alto risco
Apresentei persistente perda de visão com aperto na cabeça,baixo risco
Apresentei leve dor junto com inchaço na cabeça,alto risco
Apresentei aguda dor no peito e tontura no peito,baixo risco
Sensação de perda de visão forte à noite,alto risco
Sinto coceira com febre na garganta após comer,alto risco
Sensação de formigamento leve após esforço,baixo risco
Sinto calafrio associada a desconforto nas pernas após esforço,baixo risco
Sensação de confusão mental moderada após comer,baixo risco
Sinto confusão mental com aperto na lombar há 2 dias,baixo risco
Sensação de coceira repentina há 2 dias,baixo risco
Apresentei intermitente dor seguida de tontura no abdômen,alto risco
Apresentei crônica dor e náusea nas mãos,alto risco
Apresentei contínua confusão mental junto com cansaço nos olhos,alto risco
Tenho intensa dor abdominal nos braços à noite,alto risco
Sinto fraqueza e rigidez muscular na lombar ao acordar,alto risco
Sinto dor e dor no peito no abdômen após comer,alto risco
Sinto coceira e inchaço nas costas há 2 dias,baixo risco
Tenho leve coceira nas pernas há uma semana,baixo risco
cansaço moderada nas pernas durante o repouso,baixo risco
palpitação forte nas mãos ao acordar,alto risco
Sensação de tosse aguda após comer,baixo risco
